pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
DeusExMachina__7OA__7OA,DeusExMachina,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,0,0.0,1,1.0,3.414,0,-23.558,6.558,-2.844,60.0
DeusExMachina__7OA__5OA,DeusExMachina,7OA,5OA,5OA,Ambisonics,direct,5,0,0.706587,1.52435,0.706587,0.601216,61.4043,69.9339,98,186.724,6.01153e-06,0.00138322,0.567322,0.7153892369352817,0.7124899335280653,0.5097076298707122,0.7139395852316734,-1,-0.0208,1,0.9959,3.388,0,-23.543,6.543,-2.672,60.0
DeusExMachina__7OA__3OA-IAMF,DeusExMachina,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,3.53925,2.6205,3.53925,1.20485,43.3777,46.6685,79,2288.61,8.54701e-05,0.0158822,0.391658,0.38245749321141376,0.37058922046618176,0.14173462427066782,0.3765233568387978,24,0.5,1,0.8161,2.489,0,-22.329,5.329,-3.451,60.0
DeusExMachina__7OA__2OA-TBE,DeusExMachina,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,4.60989,3.31987,4.60989,0.896211,38.8944,43.979,70,2993.3,8.13003e-05,0.0292192,0.36588,0.40461670614584583,0.38800162643419556,0.15699194006703515,0.39630916629002066,3568,74.3333,1,0.489,2.146,0,-21.153,4.153,-2.417,60.0
DeusExMachina__7OA__1OA-YT,DeusExMachina,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.59912,3.14474,1.59912,0.814067,48.0136,58.8731,60,2753.46,0.000173312,0.0276012,0.468,0.321397341040617,0.3110938714222364,0.09998474308913836,0.3162456062314267,103,2.1458,1,0.6926,2.179,0,-21.866,4.866,-3.892,60.0
DeusExMachina__7OA__42pIKO,DeusExMachina,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,0.950181,1.00452,0.950181,0.83184,63.7504,64.3476,94,632.415,3.87764e-05,0.0056196,0.531166,0.80207553453317,0.7916656005118285,0.6349756097020479,0.7968705675224993,0,0.0,1,0.9868,3.409,0,-22.494,5.494,-2.893,60.0
DeusExMachina__7OA__Atmos,DeusExMachina,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.81567,3.83443,1.81567,0.522668,44.9106,59.442,60,5007.1,9.43323e-05,0.0238834,0.468,0.325660231033707,0.3288553721447636,0.10709511646933942,0.32725780158923534,131,2.7292,1,0.598,2.565,0,-21.13,4.13,-3.15,60.0
DeusExMachina__7OA__Auro3D,DeusExMachina,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,1.42016,3.80839,1.42016,0.605553,46.2869,62.0334,61,4439.4,9.60475e-05,0.028978,0.4758,0.33489181040442934,0.34452597202090196,0.11537892650142563,0.3397088912126657,131,2.7292,1,0.7201,2.512,0,-22.117,5.117,-3.605,60.0
DeusExMachina__7OA__Sony360RA,DeusExMachina,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,7.39072,4.26578,7.39072,0.739428,32.0567,36.9424,56,5147.77,0.000110517,0.0278623,0.29016,0.3107784439739991,0.279963023257255,0.08700647273814623,0.29537073361562705,20,0.4167,1,0.6886,2.459,0,-26.932,9.932,-1.519,60.0
DeusExMachina__7OA__42pIKO-Atmos,DeusExMachina,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,1.6957,3.15607,1.6957,1.0721,47.6144,56.3977,72,3068.47,0.000100342,0.0178063,0.473895,0.3973377493143497,0.39841356189282096,0.15830474797880684,0.3978756556035853,129,2.6875,1,0.8152,3.385,0,-21.119,4.119,-2.485,60.0
