pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
DeusExMachina__7OA__7OA,DeusExMachina,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,0,0.0,1,1.0,3.414,0,-23.558,6.558,-2.844,60.0
DeusExMachina__7OA__5OA,DeusExMachina,7OA,5OA,5OA,Ambisonics,direct,5,0,0.706548,1.52439,0.706548,0.601199,61.4042,69.9347,98,186.638,6.68273e-06,0.00143118,0.567327,0.6375465367605186,0.6396620167156776,0.40781430345432923,0.6386042767380982,-1,-0.0208,1,0.9959,3.388,0,-23.543,6.543,-2.672,60.0
DeusExMachina__7OA__3OA-IAMF,DeusExMachina,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,3.53845,2.61837,3.53845,1.20173,43.3862,46.6834,79,2290.39,8.62144e-05,0.0159223,0.391797,0.20868207898849836,0.21052439632355113,0.04393266870259723,0.20960323765602473,24,0.5,1,0.8161,2.489,0,-22.329,5.329,-3.451,60.0
DeusExMachina__7OA__2OA-TBE,DeusExMachina,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,5.03998,5.85542,5.03998,1.14261e-06,33.2552,45.5762,67,3359.68,7.86436e-05,0.0320253,0.381372,0.20810399539650315,0.2084080619520431,0.04337055036506212,0.20825602867427312,3568,74.3333,1,0.489,2.146,0,-21.152,4.152,-2.418,60.0
DeusExMachina__7OA__1OA-YT,DeusExMachina,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.60255,3.15798,1.60255,0.723719,47.9513,59.5355,60,2757.54,0.000173079,0.0277482,0.468,0.221398244903516,0.2225774208954313,0.04927825034139966,0.22198783289947366,103,2.1458,1,0.6926,2.179,0,-21.873,4.873,-3.885,60.0
DeusExMachina__7OA__42pIKO,DeusExMachina,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,0.950181,1.00452,0.950181,0.83184,63.7504,64.3476,94,632.415,3.87764e-05,0.0056196,0.531166,0.80207553453317,0.7916656005118285,0.6349756097020479,0.7968705675224993,0,0.0,1,0.9868,3.409,0,-22.494,5.494,-2.893,60.0
DeusExMachina__7OA__Atmos,DeusExMachina,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.81036,3.84772,1.81036,0.525422,44.8855,59.4618,60,5002.11,9.46112e-05,0.0239628,0.468,0.21612650824821894,0.2156180574004466,0.04660077786122257,0.21587228282433277,131,2.7292,1,0.598,2.565,0,-21.123,4.123,-3.157,60.0
DeusExMachina__7OA__Auro3D,DeusExMachina,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,1.41862,3.81462,1.41862,0.610868,46.2709,61.9997,61,4452.96,9.62432e-05,0.0288146,0.4758,0.2154562213604299,0.21481403399561402,0.04628302005988593,0.21513512767802195,131,2.7292,1,0.7201,2.512,0,-22.117,5.117,-3.605,60.0
DeusExMachina__7OA__Sony360RA,DeusExMachina,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,7.3901,4.26649,7.3901,0.740432,32.0565,36.9416,56,5149.6,0.000110003,0.027826,0.290149,0.23107886439346192,0.24835424938277567,0.05738941791466244,0.2397165568881188,20,0.4167,1,0.6886,2.459,0,-26.932,9.932,-1.519,60.0
DeusExMachina__7OA__42pIKO-Atmos,DeusExMachina,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,1.6992,3.18166,1.6992,0.82831,47.5082,58.0374,72,3071.08,0.000101525,0.0179568,0.486342,0.22059578492955972,0.2202708573735297,0.04859082267942088,0.2204333211515447,129,2.6875,1,0.8152,3.385,0,-21.126,4.126,-2.478,60.0
DeusExMachina__7OA__42pIKO-Auro3D,DeusExMachina,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,7.40621,7.7529,7.40621,2.75509e-13,27.3932,38.6263,43,5516.21,9.52993e-05,0.0583009,0.309517,0.20677438167222506,0.20572072612916642,0.04253777594251954,0.20624755390069574,-24476,-509.9167,1,0.7228,2.616,0,-19.594,2.594,-3.114,60.0
DeusExMachina__7OA__42pIKO-Sony360RA,DeusExMachina,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,9.79771,3.70682,9.79771,0.746905,29.4446,32.2474,64,3852.44,8.91437e-05,0.0312593,0.231128,0.2343389751116699,0.23788741117376236,0.055746292126427885,0.23611319314271612,17,0.3542,1,0.6847,2.352,0,-23.621,6.621,-2.078,60.0
BigBand__7OA__7OA,BigBand,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,0,0.0,1,1.0,3.367,0,-32.979,15.979,1.74,60.0
BigBand__7OA__5OA,BigBand,7OA,5OA,5OA,Ambisonics,direct,5,0,0.670004,1.14673,0.670004,0.591064,65.0496,70.591,98,182.742,3.61223e-06,0.0013654,0.571383,0.6324268845454759,0.6333000207585332,0.4005159591109044,0.6328634526520045,0,0.0,1,0.9859,3.185,0,-32.954,15.954,1.292,60.0
BigBand__7OA__3OA-IAMF,BigBand,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.4522,1.93536,1.4522,1.04532,53.9906,58.253,86,1648.28,3.34972e-05,0.0124586,0.487952,0.22948924158346806,0.22919373473614083,0.052597496360279515,0.22934148815980443,27,0.5625,1,0.8095,1.408,0,-31.565,14.565,2.748,60.0
BigBand__7OA__2OA-TBE,BigBand,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,2.81525,9.31274,2.81525,6.77194e-09,31.3528,56.0908,56,2656.05,4.46432e-05,0.0676156,0.4368,0.2181364218153705,0.2168114534206822,0.04729447465777748,0.21747393761802636,3569,74.3542,1,0.8454,2.504,0,-27.283,10.283,1.924,60.0
