pair_id,item,anchor,variant,segment,is_anchor,overall_measure,binQ,ILDdiff,ITDdiff,LS,LS_mean,vnsim_0,vnsim_1
DeusExMachina__7OA__7OA__seg0,DeusExMachina,7OA,7OA,0,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
DeusExMachina__7OA__3OA-IAMF__seg0,DeusExMachina,7OA,3OA-IAMF,0,0,0.406604,79,2081.85,9.55971e-05,0.14123370439694952,0.37583814297798324,0.3803774513162063,0.3712988346397602
DeusExMachina__7OA__1OA-YT__seg0,DeusExMachina,7OA,1OA-YT,0,0,0.468,60,2475.73,0.000179492,0.09754259626571031,0.3123431723793692,0.31630057889096724,0.30838576586777117
DeusExMachina__7OA__Atmos__seg0,DeusExMachina,7OA,Atmos,0,0,0.4212,54,4957.51,0.000129038,0.10603761404977456,0.3256406944912402,0.3277017279608144,0.3235796610216661
DeusExMachina__7OA__Sony360RA__seg0,DeusExMachina,7OA,Sony360RA,0,0,0.271108,45,6317.78,0.0001456,0.06609514408972446,0.25709062558519946,0.2577582138301269,0.25642303734027205
DeusExMachina__7OA__42pIKO-Auro3D__seg0,DeusExMachina,7OA,42pIKO-Auro3D,0,0,0.2652,34,6278.05,0.000146311,0.07885606672732093,0.2808132966489798,0.28061118888806613,0.28101540440989353
BigBand__7OA__7OA__seg0,BigBand,7OA,7OA,0,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
BigBand__7OA__3OA-IAMF__seg0,BigBand,7OA,3OA-IAMF,0,0,0.477824,87,1635.89,3.05955e-05,0.14091388562905696,0.37538502298282117,0.37555779669668976,0.3752122492689526
BigBand__7OA__1OA-YT__seg0,BigBand,7OA,1OA-YT,0,0,0.496894,79,2432.03,3.46633e-05,0.10086359746731126,0.31761827165956197,0.3218336037575173,0.31340293956160664
BigBand__7OA__Atmos__seg0,BigBand,7OA,Atmos,0,0,0.511242,67,4435.45,5.5593e-05,0.1582584864086692,0.39919429112478316,0.43232427237966636,0.36606430986989996
BigBand__7OA__Sony360RA__seg0,BigBand,7OA,Sony360RA,0,0,0.273,35,6081.95,9.00991e-05,0.13653542863839307,0.3696078381425054,0.3609750299097564,0.37824064637525445
BigBand__7OA__42pIKO-Auro3D__seg0,BigBand,7OA,42pIKO-Auro3D,0,0,0.2574,33,6604.19,7.93223e-05,0.10848462250144057,0.329432711353333,0.33585834814417737,0.32300707456248867
KWARTET__7OA__7OA__seg0,KWARTET,7OA,7OA,0,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
KWARTET__7OA__3OA-IAMF__seg0,KWARTET,7OA,3OA-IAMF,0,0,0.465954,75,3197.86,6.19313e-05,0.135450010682259,0.36803577553592515,0.3674688610178156,0.3686026900540346
KWARTET__7OA__1OA-YT__seg0,KWARTET,7OA,1OA-YT,0,0,0.476666,71,3212.57,6.29785e-05,0.09385405965818125,0.3064003158050586,0.3011951388379995,0.31160549277211774
KWARTET__7OA__Atmos__seg0,KWARTET,7OA,Atmos,0,0,0.3042,39,7228.79,0.000148632,0.1646619593192755,0.405790411862349,0.4077650105910345,0.4038158131336635
KWARTET__7OA__Sony360RA__seg0,KWARTET,7OA,Sony360RA,0,0,0.2574,33,7497.19,0.000143879,0.11952115416027606,0.34599889927018374,0.33206749101750904,0.35993030752285843
KWARTET__7OA__42pIKO-Auro3D__seg0,KWARTET,7OA,42pIKO-Auro3D,0,0,0.1326,17,10043.6,0.000162712,0.11695026314212759,0.3421487805008134,0.33140053152406435,0.3528970294775624
DeusExMachina__7OA__7OA__seg1,DeusExMachina,7OA,7OA,1,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
DeusExMachina__7OA__3OA-IAMF__seg1,DeusExMachina,7OA,3OA-IAMF,1,0,0.399328,80,2227.64,7.27753e-05,0.14302191831940142,0.378215550267089,0.3832239576422387,0.3732071428919392
DeusExMachina__7OA__1OA-YT__seg1,DeusExMachina,7OA,1OA-YT,1,0,0.468,60,2701.54,0.000169192,0.09685273738269079,0.3112578832741225,0.31661815543106336,0.3058976111171816
