pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,ref_path,test_path,duration_s
DeusExMachina__7OA__7OA,DeusExMachina,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,60.0
DeusExMachina__7OA__5OA,DeusExMachina,7OA,5OA,5OA,Ambisonics,direct,5,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_5OA.wav,60.0
DeusExMachina__7OA__3OA-IAMF,DeusExMachina,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_3OA-IAMF.wav,60.0
DeusExMachina__7OA__2OA-TBE,DeusExMachina,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_2OA-TBE.wav,60.0
DeusExMachina__7OA__1OA-YT,DeusExMachina,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_1OA-YT.wav,60.0
DeusExMachina__7OA__42pIKO,DeusExMachina,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_42pIKO.wav,60.0
DeusExMachina__7OA__Atmos,DeusExMachina,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_Atmos.wav,60.0
DeusExMachina__7OA__Auro3D,DeusExMachina,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_Auro3D.wav,60.0
DeusExMachina__7OA__Sony360RA,DeusExMachina,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_Sony360RA.wav,60.0
DeusExMachina__7OA__42pIKO-Atmos,DeusExMachina,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_42pIKO-Atmos.wav,60.0
DeusExMachina__7OA__42pIKO-Auro3D,DeusExMachina,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_42pIKO-Auro3D.wav,60.0
DeusExMachina__7OA__42pIKO-Sony360RA,DeusExMachina,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/DeusExMachina/DeusExMachina_42pIKO-Sony360RA.wav,60.0
BigBand__7OA__7OA,BigBand,7OA,7OA,7OA ref.,Ambisonics,direct,7,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/BigBand/BigBand_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s_noalign/BigBand/BigBand_7OA.wav,60.0
