item,variant,label,family,chain,ambisonic_order,is_reference,source_root,source_file
DeusExMachina,7OA,7OA ref.,Ambisonics,direct,7,1,revision,DeusExMachina_7OA-MagLS_binaural.wav
DeusExMachina,5OA,5OA,Ambisonics,direct,5,0,revision,DeusExMachina_5OA-MagLS_binaural.wav
DeusExMachina,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,revision,DeusExMachina_IAMF_binaural.wav
DeusExMachina,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,revision,DeusExMachina_TBE_binaural.wav
DeusExMachina,1OA-YT,1OA-YT,Ambisonics,direct,1,0,revision,DeusExMachina_1OA-YT_binaural.wav
DeusExMachina,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,revision,DeusExMachina_42pIKO-MagLS_binaural.wav
DeusExMachina,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,revision,DeusExMachina_Atmos-native_binaural.wav
DeusExMachina,Auro3D,Auro-3D,Channel/Object,direct,NA,0,revision,DeusExMachina_Auro3D-native_binaural.wav
DeusExMachina,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,revision,DeusExMachina_Sony360RA-native_binaural.wav
DeusExMachina,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,revision,DeusExMachina_Atmos_binaural.wav
DeusExMachina,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,revision,DeusExMachina_Auro3D_binaural.wav
DeusExMachina,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,revision,DeusExMachina_Sony360RA_binaural.wav
BigBand,7OA,7OA ref.,Ambisonics,direct,7,1,revision,BigBand_7OA-MagLS_binaural.wav
BigBand,5OA,5OA,Ambisonics,direct,5,0,revision,BigBand_5OA-MagLS_binaural.wav
BigBand,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,revision,BigBand_IAMF_binaural.wav
BigBand,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,revision,BigBand_TBE_binaural.wav
BigBand,1OA-YT,1OA-YT,Ambisonics,direct,1,0,revision,BigBand_1OA-YT_binaural.wav
BigBand,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,revision,BigBand_42pIKO-MagLS_binaural.wav
BigBand,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,revision,BigBand_Atmos-native_binaural.wav
BigBand,Auro3D,Auro-3D,Channel/Object,direct,NA,0,revision,BigBand_Auro3D-native_binaural.wav
BigBand,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,revision,BigBand_Sony360RA-native_binaural.wav
BigBand,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,revision,BigBand_Atmos_binaural.wav
BigBand,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,revision,BigBand_Auro3D_binaural.wav
BigBand,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,revision,BigBand_Sony360RA_binaural.wav
KWARTET,7OA,7OA ref.,Ambisonics,direct,7,1,revision,KWARTET_7OA-MagLS_binaural.wav
KWARTET,5OA,5OA,Ambisonics,direct,5,0,revision,KWARTET_5OA-MagLS_binaural.wav
KWARTET,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,revision,KWARTET_IAMF_binaural.wav
KWARTET,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,revision,KWARTET_TBE_binaural.wav
KWARTET,1OA-YT,1OA-YT,Ambisonics,direct,1,0,revision,KWARTET_1OA-YT_binaural.wav
KWARTET,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,revision,KWARTET_42pIKO-MagLS_binaural.wav
KWARTET,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,revision,KWARTET_Atmos-native_binaural.wav
KWARTET,Auro3D,Auro-3D,Channel/Object,direct,NA,0,revision,KWARTET_Auro3D-native_binaural.wav
KWARTET,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,revision,KWARTET_Sony360RA-native_binaural.wav
KWARTET,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,revision,KWARTET_Atmos_binaural.wav
KWARTET,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,revision,KWARTET_Auro3D_binaural.wav
KWARTET,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,revision,KWARTET_Sony360RA_binaural.wav
