pair_id,item,anchor,variant,family,is_anchor,LS_baseline,LS_corrected,dLS,rel_dLS_pct
BigBand__5OA__1OA-YT,BigBand,5OA,1OA-YT,Ambisonics,0,0.10143594104132479,0.1013549258773046,-8.101516402019004e-05,-0.07986830228861842
BigBand__5OA__2OA-TBE,BigBand,5OA,2OA-TBE,Ambisonics,0,0.18499301811147933,0.18584442334180698,0.0008514052303276454,0.4602364127140068
BigBand__5OA__3OA-IAMF,BigBand,5OA,3OA-IAMF,Ambisonics,0,0.1544149959108794,0.16290597667666185,0.008490980765782447,5.498805809432534
BigBand__5OA__42pIKO,BigBand,5OA,42pIKO,Ambisonics,0,0.37769667446589056,0.3948700759816652,0.017173401515774622,4.54687654850547
BigBand__5OA__42pIKO-Atmos,BigBand,5OA,42pIKO-Atmos,Channel/Object,0,0.19977097560424237,0.19778791011294902,-0.0019830654912933454,-0.9926694732781957
BigBand__5OA__42pIKO-Auro3D,BigBand,5OA,42pIKO-Auro3D,Channel/Object,0,0.1227948206076356,0.12389009322494732,0.0010952726173117239,0.8919534324753253
BigBand__5OA__42pIKO-Sony360RA,BigBand,5OA,42pIKO-Sony360RA,Channel/Object,0,0.1953320880929271,0.1993225249611831,0.003990436868256009,2.0428987921112083
BigBand__5OA__5OA,BigBand,5OA,5OA,Ambisonics,1,1.0,1.0,0.0,0.0
BigBand__5OA__7OA,BigBand,5OA,7OA,Ambisonics,0,0.4005159591109044,0.4061963488740931,0.005680389763188742,1.418268020030588
BigBand__5OA__Atmos,BigBand,5OA,Atmos,Channel/Object,0,0.18092414374641672,0.17874887844079254,-0.0021752653056241744,-1.2023079178824394
BigBand__5OA__Auro3D,BigBand,5OA,Auro3D,Channel/Object,0,0.17288302119063226,0.17194800022827014,-0.0009350209623621153,-0.5408402490439471
BigBand__5OA__Sony360RA,BigBand,5OA,Sony360RA,Channel/Object,0,0.13348341683343912,0.13334780582431777,-0.00013561100912135027,-0.10159390008016199
BigBand__7OA__1OA-YT,BigBand,7OA,1OA-YT,Ambisonics,0,0.10069479933837568,0.1005428276982487,-0.00015197164012697995,-0.15092302792748324
BigBand__7OA__2OA-TBE,BigBand,7OA,2OA-TBE,Ambisonics,0,0.18806966360229568,0.18833185616996193,0.00026219256766624177,0.13941247229573994
BigBand__7OA__3OA-IAMF,BigBand,7OA,3OA-IAMF,Ambisonics,0,0.14456603002953056,0.15148570280632026,0.006919672776789704,4.786513661180444
BigBand__7OA__42pIKO,BigBand,7OA,42pIKO,Ambisonics,0,0.5806937613987405,0.5885160151948854,0.007822253796144873,1.347053182955349
BigBand__7OA__42pIKO-Atmos,BigBand,7OA,42pIKO-Atmos,Channel/Object,0,0.17772020813611386,0.17516543086860545,-0.0025547772675084124,-1.4375277264765174
BigBand__7OA__42pIKO-Auro3D,BigBand,7OA,42pIKO-Auro3D,Channel/Object,0,0.11595657719463269,0.11641717712757127,0.0004605999329385796,0.3972175999688783
BigBand__7OA__42pIKO-Sony360RA,BigBand,7OA,42pIKO-Sony360RA,Channel/Object,0,0.19959990847230386,0.19492194329943838,-0.004677965172865478,-2.3436710009887527
BigBand__7OA__5OA,BigBand,7OA,5OA,Ambisonics,0,0.4005159591109044,0.4061963488740931,0.005680389763188742,1.418268020030588
BigBand__7OA__7OA,BigBand,7OA,7OA,Ambisonics,1,1.0,1.0,0.0,0.0
BigBand__7OA__Atmos,BigBand,7OA,Atmos,Channel/Object,0,0.1628429645315529,0.16000511504114096,-0.0028378494904119367,-1.7426908792624363
BigBand__7OA__Auro3D,BigBand,7OA,Auro3D,Channel/Object,0,0.16537121797135304,0.16627883863759874,0.0009076206662456954,0.5488383513042281
BigBand__7OA__Sony360RA,BigBand,7OA,Sony360RA,Channel/Object,0,0.1354267420983722,0.13570050818298374,0.0002737660846115486,0.20215068336554132
BigBand__Atmos__1OA-YT,BigBand,Atmos,1OA-YT,Ambisonics,0,0.10099202526499694,0.10114141093961494,0.00014938567461800223,0.14791828783116615
BigBand__Atmos__2OA-TBE,BigBand,Atmos,2OA-TBE,Ambisonics,0,0.1377343898880281,0.13665728414581213,-0.001077105742215978,-0.7820165632501924
BigBand__Atmos__3OA-IAMF,BigBand,Atmos,3OA-IAMF,Ambisonics,0,0.09448823324824503,0.10786660311613709,0.013378369867892065,14.158768142847613
BigBand__Atmos__42pIKO,BigBand,Atmos,42pIKO,Ambisonics,0,0.17318388490807854,0.17233602484653687,-0.0008478600615416665,-0.48957214581003794
BigBand__Atmos__42pIKO-Atmos,BigBand,Atmos,42pIKO-Atmos,Channel/Object,0,0.5884870678633212,0.5558189015315402,-0.032668166331780935,-5.551212272241175
BigBand__Atmos__42pIKO-Auro3D,BigBand,Atmos,42pIKO-Auro3D,Channel/Object,0,0.11908955658817069,0.12485145897994913,0.005761902391778442,4.838293597568722
BigBand__Atmos__42pIKO-Sony360RA,BigBand,Atmos,42pIKO-Sony360RA,Channel/Object,0,0.14247515935948185,0.14265658267122422,0.00018142331174236803,0.12733680211903842
BigBand__Atmos__5OA,BigBand,Atmos,5OA,Ambisonics,0,0.18092414374641672,0.17874887844079254,-0.0021752653056241744,-1.2023079178824394
BigBand__Atmos__7OA,BigBand,Atmos,7OA,Ambisonics,0,0.1628429645315529,0.16000511504114096,-0.0028378494904119367,-1.7426908792624363
BigBand__Atmos__Atmos,BigBand,Atmos,Atmos,Channel/Object,1,1.0,1.0,0.0,0.0
BigBand__Atmos__Auro3D,BigBand,Atmos,Auro3D,Channel/Object,0,0.1693524878892082,0.16746716512379906,-0.0018853227654091476,-1.1132536574499816
BigBand__Atmos__Sony360RA,BigBand,Atmos,Sony360RA,Channel/Object,0,0.12049039152080197,0.1206146543215323,0.00012426280073032925,0.10313087970079007
DeusExMachina__5OA__1OA-YT,DeusExMachina,5OA,1OA-YT,Ambisonics,0,0.10234194572399664,0.10130483084113034,-0.0010371148828662996,-1.0133820258442887
DeusExMachina__5OA__2OA-TBE,DeusExMachina,5OA,2OA-TBE,Ambisonics,0,0.15920640845489673,0.15397883295928433,-0.0052275754956123965,-3.2835207742867785
DeusExMachina__5OA__3OA-IAMF,DeusExMachina,5OA,3OA-IAMF,Ambisonics,0,0.1388896652717337,0.14011982110436486,0.001230155832631169,0.8857072484294668
DeusExMachina__5OA__42pIKO,DeusExMachina,5OA,42pIKO,Ambisonics,0,0.4419996068459881,0.44567038227292105,0.0036707754269329484,0.8304929167532057
DeusExMachina__5OA__42pIKO-Atmos,DeusExMachina,5OA,42pIKO-Atmos,Channel/Object,0,0.1578437540255116,0.16021160460097203,0.002367850575460434,1.5001230742888494
DeusExMachina__5OA__42pIKO-Auro3D,DeusExMachina,5OA,42pIKO-Auro3D,Channel/Object,0,0.0795119873080557,0.07929688992875876,-0.0002150973792969385,-0.27052195094002646
DeusExMachina__5OA__42pIKO-Sony360RA,DeusExMachina,5OA,42pIKO-Sony360RA,Channel/Object,0,0.10762835887502994,0.10736861492775802,-0.0002597439472719204,-0.2413341148995088
DeusExMachina__5OA__5OA,DeusExMachina,5OA,5OA,Ambisonics,1,1.0,1.0,0.0,0.0
DeusExMachina__5OA__7OA,DeusExMachina,5OA,7OA,Ambisonics,0,0.5097076298707122,0.509530834518993,-0.00017679535171921668,-0.034685639640917476
DeusExMachina__5OA__Atmos,DeusExMachina,5OA,Atmos,Channel/Object,0,0.10845131271783419,0.11015949526520692,0.001708182547372733,1.5750685764560897
DeusExMachina__5OA__Auro3D,DeusExMachina,5OA,Auro3D,Channel/Object,0,0.11589282899882487,0.1156938233775395,-0.00019900562128537247,-0.17171521569068812
DeusExMachina__5OA__Sony360RA,DeusExMachina,5OA,Sony360RA,Channel/Object,0,0.09305365783664445,0.09267472468536816,-0.00037893315127628113,-0.4072200492553422
DeusExMachina__7OA__1OA-YT,DeusExMachina,7OA,1OA-YT,Ambisonics,0,0.09998474308913836,0.09952623503691134,-0.0004585080522270246,-0.45857801706631945
DeusExMachina__7OA__2OA-TBE,DeusExMachina,7OA,2OA-TBE,Ambisonics,0,0.15699194006703515,0.1522220852651879,-0.004769854801847245,-3.038280054256626
DeusExMachina__7OA__3OA-IAMF,DeusExMachina,7OA,3OA-IAMF,Ambisonics,0,0.14173462427066782,0.14761914078080307,0.005884516510135246,4.151784745904925
DeusExMachina__7OA__42pIKO,DeusExMachina,7OA,42pIKO,Ambisonics,0,0.6349756097020479,0.5940551970480681,-0.04092041265397983,-6.4444070022124285
DeusExMachina__7OA__42pIKO-Atmos,DeusExMachina,7OA,42pIKO-Atmos,Channel/Object,0,0.15830474797880684,0.16049518169148688,0.0021904337126800455,1.3836816271444312
DeusExMachina__7OA__42pIKO-Auro3D,DeusExMachina,7OA,42pIKO-Auro3D,Channel/Object,0,0.07872926374826761,0.07789582638287317,-0.0008334373653944432,-1.0586119134294363
DeusExMachina__7OA__42pIKO-Sony360RA,DeusExMachina,7OA,42pIKO-Sony360RA,Channel/Object,0,0.11165867313449727,0.11211733980708996,0.00045866667259268634,0.4107756788764669
DeusExMachina__7OA__5OA,DeusExMachina,7OA,5OA,Ambisonics,0,0.5097076298707122,0.509530834518993,-0.00017679535171921668,-0.034685639640917476
DeusExMachina__7OA__7OA,DeusExMachina,7OA,7OA,Ambisonics,1,1.0,1.0,0.0,0.0
DeusExMachina__7OA__Atmos,DeusExMachina,7OA,Atmos,Channel/Object,0,0.10709511646933942,0.10889001963521719,0.0017949031658777703,1.6759897416906386
DeusExMachina__7OA__Auro3D,DeusExMachina,7OA,Auro3D,Channel/Object,0,0.11537892650142563,0.11528615730495038,-9.276919647524529e-05,-0.08040393448633709
DeusExMachina__7OA__Sony360RA,DeusExMachina,7OA,Sony360RA,Channel/Object,0,0.08700647273814623,0.08711537159282592,0.00010889885467969818,0.12516178538513914
DeusExMachina__Atmos__1OA-YT,DeusExMachina,Atmos,1OA-YT,Ambisonics,0,0.08922301935093989,0.0901322700961597,0.0009092507452198167,1.019076413053756
DeusExMachina__Atmos__2OA-TBE,DeusExMachina,Atmos,2OA-TBE,Ambisonics,0,0.09445334581846236,0.09456158516552332,0.00010823934706095939,0.11459556686217709
DeusExMachina__Atmos__3OA-IAMF,DeusExMachina,Atmos,3OA-IAMF,Ambisonics,0,0.06571179590957989,0.07511154818483952,0.009399752275259632,14.304512827793944
DeusExMachina__Atmos__42pIKO,DeusExMachina,Atmos,42pIKO,Ambisonics,0,0.1110614969109082,0.1165015631560188,0.005440066245110592,4.89824682398665
DeusExMachina__Atmos__42pIKO-Atmos,DeusExMachina,Atmos,42pIKO-Atmos,Channel/Object,0,0.14463256293240861,0.15441394250612014,0.00978137957371153,6.762916576596018
DeusExMachina__Atmos__42pIKO-Auro3D,DeusExMachina,Atmos,42pIKO-Auro3D,Channel/Object,0,0.07445661242758704,0.07333022452011487,-0.0011263879074721733,-1.512811113408691
DeusExMachina__Atmos__42pIKO-Sony360RA,DeusExMachina,Atmos,42pIKO-Sony360RA,Channel/Object,0,0.08718990960434207,0.09768676282034122,0.01049685321599915,12.03906881384862
DeusExMachina__Atmos__5OA,DeusExMachina,Atmos,5OA,Ambisonics,0,0.10845131271783419,0.11015949526520692,0.001708182547372733,1.5750685764560897
DeusExMachina__Atmos__7OA,DeusExMachina,Atmos,7OA,Ambisonics,0,0.10709511646933942,0.10889001963521719,0.0017949031658777703,1.6759897416906386
DeusExMachina__Atmos__Atmos,DeusExMachina,Atmos,Atmos,Channel/Object,1,1.0,1.0,0.0,0.0
DeusExMachina__Atmos__Auro3D,DeusExMachina,Atmos,Auro3D,Channel/Object,0,0.15787459932002612,0.14174334683764966,-0.016131252482376457,-10.217763054889499
DeusExMachina__Atmos__Sony360RA,DeusExMachina,Atmos,Sony360RA,Channel/Object,0,0.08250511253550913,0.08604198735821733,0.0035368748227082025,4.286855340250554
KWARTET__5OA__1OA-YT,KWARTET,5OA,1OA-YT,Ambisonics,0,0.09312849242665404,0.09357356263559086,0.00044507020893681803,0.47790981829470247
