item,variant,offset_samples,vnsim_0,vnsim_1,LS,seconds
BigBand,7OA,0.0,1.0,1.0,1.0,13.7
BigBand,7OA,0.125,0.9316784618855197,0.9316350366478306,0.8679842979827107,12.6
BigBand,7OA,-0.25,0.8654498494560205,0.8662855130242212,0.7497266668327438,12.7
BigBand,7OA,0.25,0.8652058720771808,0.8657825449595462,0.7490801418409252,12.8
BigBand,5OA,0.0,0.6324268845454759,0.6333000207585332,0.4005159591109044,12.8
BigBand,7OA,0.5,0.7616818686116555,0.7626973810380439,0.5809327663742732,13.6
BigBand,5OA,0.125,0.6249130018959849,0.6262149503018766,0.39132986442529066,13.1
BigBand,5OA,0.25,0.6176863478772243,0.6193661352141675,0.3825740060592702,13.2
BigBand,5OA,0.5,0.6031456337540736,0.6045988400606885,0.3646611505553818,13.4
BigBand,42pIKO,0.0,0.7799604738748688,0.7445169093170007,0.5806937613987405,13.1
BigBand,42pIKO,0.125,0.7883481908752732,0.7548043855106424,0.5950486717820372,13.3
BigBand,5OA,-0.25,0.6484697963869668,0.6485557828309467,0.4205688364379739,13.6
BigBand,42pIKO,-0.25,0.7236914875030535,0.6987028665620345,0.5056453168249262,13.2
BigBand,42pIKO,0.5,0.7428669481711782,0.7231890404502317,0.5372332354301064,13.2
BigBand,Atmos,0.0,0.44135076672593165,0.36896495216167713,0.1628429645315529,13.3
BigBand,42pIKO,0.25,0.7805779779285318,0.7524466695615672,0.5873432998254263,13.7
BigBand,Atmos,0.25,0.4373902249237112,0.3666694480046727,0.16037763233541683,13.4
BigBand,Atmos,-0.25,0.4448597661015994,0.37081811104423196,0.16496205814537393,13.2
BigBand,Atmos,0.5,0.4347149707087203,0.3646840506294838,0.15853361638733351,13.3
BigBand,Atmos,0.125,0.43944995112801366,0.3678124929217693,0.16163518203874438,13.8
DeusExMachina,7OA,0.125,0.9458943549090089,0.9441654674821075,0.8930807857913509,13.4
DeusExMachina,7OA,0.25,0.88906187572403,0.8862864686179937,0.78796351021834,13.3
DeusExMachina,7OA,-0.25,0.8886119063283077,0.8865225126072956,0.7877744599309301,13.2
DeusExMachina,7OA,0.0,1.0,1.0,1.0,13.7
DeusExMachina,5OA,0.0,0.7153892369352817,0.7124899335280653,0.5097076298707122,13.5
DeusExMachina,5OA,0.125,0.7130980729174667,0.7108172325964673,0.5068823987610676,13.3
DeusExMachina,5OA,0.25,0.7068416439338345,0.7045970014256311,0.49803850279854345,13.3
DeusExMachina,7OA,0.5,0.794675594257973,0.7910092383078616,0.6285957365158464,13.8
DeusExMachina,42pIKO,0.0,0.80207553453317,0.7916656005118285,0.6349756097020479,13.2
DeusExMachina,5OA,0.5,0.6861389523426934,0.6859340799907594,0.4706460910210089,13.4
DeusExMachina,42pIKO,0.125,0.7950511026789635,0.7854690984608842,0.6244880728515774,13.6
DeusExMachina,5OA,-0.25,0.7095821746397185,0.7038235115332822,0.49942061787634934,14.1
DeusExMachina,42pIKO,0.5,0.7288652407684005,0.7250785065311939,0.528484520238851,13.4
DeusExMachina,42pIKO,-0.25,0.7726944589981755,0.756489834697563,0.5845355035592527,13.5
DeusExMachina,Atmos,0.0,0.325660231033707,0.3288553721447636,0.10709511646933942,13.7
DeusExMachina,42pIKO,0.25,0.7766340924137973,0.7683322596754676,0.5967130271652988,13.9
DeusExMachina,Atmos,-0.25,0.3278247491112796,0.3291767887551852,0.10791229818692527,13.4
DeusExMachina,Atmos,0.25,0.32435803618752573,0.3285497733356987,0.10656775926902393,13.4
DeusExMachina,Atmos,0.5,0.3233276537910975,0.3273059538898055,0.10582706614304796,13.8
DeusExMachina,Atmos,0.125,0.3249359669518385,0.32876498757469286,0.106827569137492,13.9
KWARTET,7OA,0.25,0.8679509871954347,0.8679685746034285,0.7533541811816601,13.3
KWARTET,7OA,0.125,0.9328346164045406,0.9332681106265864,0.8705847999789421,13.3
KWARTET,7OA,-0.25,0.8681580197536763,0.8680045639360907,0.7535651233639099,13.7
KWARTET,7OA,0.0,1.0,1.0,1.0,13.8
KWARTET,5OA,0.0,0.6979338160835412,0.691813180985292,0.48283981342195836,13.4
KWARTET,5OA,0.125,0.7003997651277423,0.6909460430588337,0.48393844627435,13.4
KWARTET,5OA,0.25,0.6982811537895209,0.6867080557667394,0.4795152934973575,13.4
KWARTET,7OA,0.5,0.7657086797897869,0.7658848679187971,0.5864446910850774,14.0
KWARTET,42pIKO,0.0,0.7678647896651657,0.7983849797959228,0.6130517145828238,13.5
KWARTET,5OA,0.5,0.6847988791144329,0.6726630630838863,0.4606389116215265,13.7
KWARTET,42pIKO,0.125,0.7634032390366174,0.7998051091911357,0.6105738109545484,13.6
KWARTET,5OA,-0.25,0.6822713220026709,0.6817633365880578,0.4651475729468861,13.7
KWARTET,42pIKO,0.5,0.7076505343067266,0.7298294349582632,0.5164641896009914,13.3
KWARTET,42pIKO,-0.25,0.7327228441118226,0.753645075667253,0.5522129632937794,13.4
KWARTET,Atmos,0.0,0.40255020957696724,0.3879444556268943,0.15616712191682877,13.5
KWARTET,42pIKO,0.25,0.7486066860289254,0.7829038136871868,0.5860870294437721,14.1
KWARTET,Atmos,-0.25,0.40039280852835235,0.3909232119574842,0.15652284275458148,13.2
KWARTET,Atmos,0.25,0.40229612805982423,0.3842227146221244,0.15457131040511546,13.2
KWARTET,Atmos,0.125,0.4027849369858092,0.3860885503643848,0.15551065242946113,12.1
KWARTET,Atmos,0.5,0.39867739087351706,0.3796351236796487,0.15135194059254728,12.1
