"item","variant","lag_samples","lag_ms","polarity","gcc_corr","gcc_peak_ratio","residual_lag_samples","lufs_before","gain_db","true_peak_dbtp_after"
"DeusExMachina","7OA",0,0,1,1,3.414,0,-23.558,6.558,-2.844
"DeusExMachina","5OA",-1,-0.0208,1,0.9959,3.388,0,-23.543,6.543,-2.672
"DeusExMachina","3OA-IAMF",24,0.5,1,0.8161,2.489,0,-22.329,5.329,-3.451
"DeusExMachina","2OA-TBE",3568,74.3333,1,0.489,2.146,0,-21.153,4.153,-2.417
"DeusExMachina","1OA-YT",103,2.1458,1,0.6926,2.179,0,-21.866,4.866,-3.892
"DeusExMachina","42pIKO",0,0,1,0.9868,3.409,0,-22.494,5.494,-2.893
"DeusExMachina","Atmos",131,2.7292,1,0.598,2.565,0,-21.13,4.13,-3.15
"DeusExMachina","Auro3D",131,2.7292,1,0.7201,2.512,0,-22.117,5.117,-3.605
"DeusExMachina","Sony360RA",45,0.9375,1,0.6491,2.059,0,-15.998,-1.002,-3.049
"DeusExMachina","42pIKO-Atmos",129,2.6875,1,0.8152,3.385,0,-21.119,4.119,-2.485
"DeusExMachina","42pIKO-Auro3D",-24476,-509.9167,1,0.7228,2.616,0,-19.594,2.594,-3.114
"DeusExMachina","42pIKO-Sony360RA",41,0.8542,1,0.6847,2.352,0,-15.643,-1.357,-2.078
"BigBand","7OA",0,0,1,1,3.367,0,-32.979,15.979,1.74
"BigBand","5OA",0,0,1,0.9859,3.185,0,-32.954,15.954,1.292
"BigBand","3OA-IAMF",27,0.5625,1,0.8095,1.408,0,-31.565,14.565,2.748
"BigBand","2OA-TBE",3569,74.3542,1,0.8454,2.504,0,-27.286,10.286,1.928
"BigBand","1OA-YT",46,0.9583,-1,0.7546,1.517,0,-31.168,14.168,2.289
"BigBand","42pIKO",0,0,1,0.9939,3.263,0,-31.413,14.413,0.989
"BigBand","Atmos",130,2.7083,1,0.9104,2.361,0,-28.96,11.96,1.177
"BigBand","Auro3D",131,2.7292,1,0.9267,2.941,0,-29.498,12.498,1.649
"BigBand","Sony360RA",18,0.375,1,0.8649,3.015,0,-35.269,18.269,2.708
"BigBand","42pIKO-Atmos",130,2.7083,1,0.9117,3.139,0,-27.865,10.865,2.727
"BigBand","42pIKO-Auro3D",-24477,-509.9375,1,0.8324,3.008,0,-31.552,14.552,2.695
"BigBand","42pIKO-Sony360RA",15,0.3125,1,0.8795,2.93,0,-34.098,17.098,3.057
"KWARTET","7OA",0,0,1,1,3.108,0,-24.394,7.394,-0.963
"KWARTET","5OA",-1,-0.0208,1,0.9909,3.09,0,-24.379,7.379,-1.151
"KWARTET","3OA-IAMF",27,0.5625,1,0.7769,2.105,0,-22.74,5.74,-0.271
"KWARTET","2OA-TBE",3569,74.3542,1,0.8583,2.823,0,-18.566,1.566,-0.598
"KWARTET","1OA-YT",55,1.1458,-1,0.7347,1.381,0,-23.184,6.184,0.219
"KWARTET","42pIKO",0,0,1,0.9946,3.092,0,-23.5,6.5,-0.266
"KWARTET","Atmos",131,2.7292,1,0.8871,3.286,0,-21.988,4.988,0.261
"KWARTET","Auro3D",131,2.7292,1,0.941,2.8,0,-19.974,2.974,-0.487
"KWARTET","Sony360RA",19,0.3958,1,0.8887,2.865,0,-26.158,9.158,0.146
"KWARTET","42pIKO-Atmos",130,2.7083,1,0.9349,2.765,0,-18.894,1.894,-0.068
"KWARTET","42pIKO-Auro3D",-24477,-509.9375,1,0.8625,2.907,0,-21.551,4.551,-1.592
"KWARTET","42pIKO-Sony360RA",17,0.3542,1,0.8927,2.935,0,-24.932,7.932,-1.328
