"item","variant","k","LS_a","ov_a","itd_a","ild_a","LS_u","ov_u","itd_u","ild_u","lag_samples","lag_ms","abs_ms","LS_ratio","ov_ratio"
"BigBand","1OA-YT","BigBand|1OA-YT",0.100694799338376,0.484241,43.5786,0.886975,0.0554453306913016,0.487764,43.1958,0.896333333333333,46,0.9583,0.9583,1.81610963597649,0.992777244733109
"BigBand","2OA-TBE","BigBand|2OA-TBE",0.188069663602296,0.425983,39.381,0.995170833333333,0.0472944746577775,0.4368,44.6432,1.1066875,3569,74.3542,74.3542,3.97656734667562,0.975235805860806
"BigBand","3OA-IAMF","BigBand|3OA-IAMF",0.144566030029531,0.48673,33.5122,0.6862375,0.0525974963602795,0.487952,33.4972,0.686783333333333,27,0.5625,0.5625,2.74853443668288,0.997495655310358
"BigBand","42pIKO","BigBand|42pIKO",0.58069376139874,0.472911,13.4542,0.214036666666667,0.58069376139874,0.472911,13.4542,0.214036666666667,0,0,0,1,1
"BigBand","42pIKO-Atmos","BigBand|42pIKO-Atmos",0.177720208136114,0.442823,46.3995,1.2299125,0.0542365509390823,0.454068,46.7663,1.22823333333333,130,2.7083,2.7083,3.27676087544222,0.975234986830166
"BigBand","42pIKO-Auro3D","BigBand|42pIKO-Auro3D",0.115956577194633,0.2496,93.735,2.63460416666667,0.046017312178287,0.2808,85.5069,2.316575,-24477,-509.9375,509.9375,2.51984680777045,0.888888888888889
"BigBand","42pIKO-Sony360RA","BigBand|42pIKO-Sony360RA",0.199599908472304,0.44905,54.196,1.03991666666667,0.0637778519352215,0.449267,54.0282,1.0403,15,0.3125,0.3125,3.12961165068769,0.9995169910098
"BigBand","5OA","BigBand|5OA",0.400515959110904,0.571383,3.61223,0.0761425,0.400515959110904,0.571383,3.61223,0.0761425,0,0,0,1,1
"BigBand","Atmos","BigBand|Atmos",0.162842964531553,0.504861,59.5564,1.80761666666667,0.0525868450037855,0.516934,59.5939,1.80410833333333,130,2.7083,2.7083,3.09664830662175,0.976644987561275
"BigBand","Auro3D","BigBand|Auro3D",0.165371217971353,0.2886,71.503,2.306625,0.0531413314380039,0.2886,71.4751,2.31120416666667,131,2.7292,2.7292,3.11191333556028,1
"BigBand","Sony360RA","BigBand|Sony360RA",0.135426742098372,0.2808,92.737,2.76977083333333,0.0655746662635552,0.2808,92.8882,2.7685375,18,0.375,0.375,2.06522960489147,1
"DeusExMachina","1OA-YT","DeusExMachina|1OA-YT",0.0999847430891384,0.468,173.312,1.147275,0.0492782503413997,0.468,173.079,1.148975,103,2.1458,2.1458,2.02898322071998,1
"DeusExMachina","2OA-TBE","DeusExMachina|2OA-TBE",0.156991940067035,0.36588,81.3003,1.24720833333333,0.0433705503650621,0.381372,78.6436,1.39986666666667,3568,74.3333,74.3333,3.61978205823052,0.959378244863283
"DeusExMachina","3OA-IAMF","DeusExMachina|3OA-IAMF",0.141734624270668,0.391658,85.4701,0.9535875,0.0439326687025972,0.391797,86.2144,0.954329166666667,24,0.5,0.5,3.22617834191094,0.999645224440208
"DeusExMachina","42pIKO","DeusExMachina|42pIKO",0.634975609702048,0.531166,38.7764,0.26350625,0.634975609702048,0.531166,38.7764,0.26350625,0,0,0,1,1
"DeusExMachina","42pIKO-Atmos","DeusExMachina|42pIKO-Atmos",0.158304747978807,0.473895,100.342,1.27852916666667,0.0485908226794209,0.486342,101.525,1.27961666666667,129,2.6875,2.6875,3.25791454537056,0.974406898848958
"DeusExMachina","42pIKO-Auro3D","DeusExMachina|42pIKO-Auro3D",0.0787292637482676,0.3042,102.478,2.64622916666667,0.0425377759425195,0.309517,95.2993,2.29842083333333,-24476,-509.9167,509.9167,1.8508081817595,0.982821622075686
"DeusExMachina","42pIKO-Sony360RA","DeusExMachina|42pIKO-Sony360RA",0.111658673134497,0.231223,90.2603,1.60715833333333,0.0557462921264279,0.231128,89.1437,1.60518333333333,17,0.3542,0.3542,2.00297937091968,1.00041102765567
"DeusExMachina","5OA","DeusExMachina|5OA",0.509707629870712,0.567322,6.01153,0.0778016666666667,0.407814303454329,0.567327,6.68273,0.0777658333333333,-1,-0.0208,0.0208,1.24985226254526,0.999991186740627
"DeusExMachina","Atmos","DeusExMachina|Atmos",0.107095116469339,0.468,94.3323,2.08629166666667,0.0466007778612226,0.468,94.6112,2.0842125,131,2.7292,2.7292,2.29814010376113,1
"DeusExMachina","Auro3D","DeusExMachina|Auro3D",0.115378926501426,0.4758,96.0475,1.84975,0.0462830200598859,0.4758,96.2432,1.8554,131,2.7292,2.7292,2.49289969306532,1
"DeusExMachina","Sony360RA","DeusExMachina|Sony360RA",0.0870064727381462,0.29016,110.517,2.14490416666667,0.0573894179146624,0.290149,110.003,2.14566666666667,20,0.4167,0.4167,1.5160717062425,1.00003791155579
