"variant","overall_measure_mean","overall_measure_sd","LS_mean","LS_sd","ILDdiff_dB_mean","ILDdiff_dB_sd","ITDdiff_us_mean","ITDdiff_us_sd","binQ_mean","binQ_sd"
"5OA",0.557459666666667,0.0206988256752245,0.464354467467858,0.0568945186473323,0.10234875,0.0439615040898316,5.28175333333333,1.4496561560016,97.6666666666667,0.577350269189626
"42pIKO",0.498785333333333,0.0296674996643353,0.609573695227871,0.027307548915655,0.269116944444444,0.0580892029619301,24.2732,13.0569311264171,93.3333333333333,1.15470053837925
"1OA-YT",0.481923,0.0129208954411062,0.0975970897272204,0.00476371180688369,1.06254583333333,0.152079514735165,88.8901333333333,73.1771986275324,72.3333333333333,10.9696551146029
"Atmos",0.469887,0.0340697153935867,0.14203506763924,0.0304424351764184,2.00785,0.174756534808668,88.0952333333333,25.9878318168972,61.3333333333333,6.11010092660779
"42pIKO-Atmos",0.458565333333333,0.0155401099202462,0.167555499847975,0.00973994407231518,1.48178055555556,0.394893880179232,70.2581,27.5048013377665,71,5.56776436283002
"3OA-IAMF",0.443819333333333,0.048206352499783,0.138314823335866,0.00849414539875658,0.893318055555556,0.184483420350608,58.1111,26.088684464917,81.6666666666667,3.78593889720018
"2OA-TBE",0.419954333333333,0.051326233217852,0.175392103539875,0.0163100388527504,1.18650555555556,0.169349502607964,61.1113666666667,21.0021175280812,62.6666666666667,6.42910050732864
"42pIKO-Sony360RA",0.362414666666667,0.115546962800124,0.157526221988248,0.044093199724504,1.37659583333333,0.298138117839748,75.9499333333333,19.1497636320487,66,6.2449979983984
"Auro3D",0.3328,0.126814983341875,0.145829173238453,0.0267216944602262,2.22249305555556,0.338608876875434,97.0611666666667,26.0797788541876,42.6666666666667,16.2583311976763
"Sony360RA",0.27872,0.0126093298791014,0.11054862580376,0.02423776432638,2.52517777777778,0.333798588440209,110.141,17.2190791856011,42,12.1655250605964
"42pIKO-Auro3D",0.2418,0.0666432292134767,0.100598581318132,0.0194490667964902,2.90823194444444,0.463906083372287,115.237666666667,29.9923427950091,31,8.54400374531753
