"metric","variant","range","cv"
"overall_measure","5OA",0.037709,0.0371306247122653
"overall_measure","3OA-IAMF",0.095072,0.108617063023654
"overall_measure","2OA-TBE",0.10212,0.122218606033796
"overall_measure","1OA-YT",0.025528,0.0268111201189946
"overall_measure","42pIKO",0.058255,0.059479494848155
"overall_measure","Atmos",0.068061,0.0725061884955036
"overall_measure","Auro3D",0.2418,0.381054637445537
"overall_measure","Sony360RA",0.064365,0.115044719947242
"overall_measure","42pIKO-Atmos",0.031072,0.0338885406083455
"overall_measure","42pIKO-Auro3D",0.1326,0.275613024042501
"overall_measure","42pIKO-Sony360RA",0.217827,0.318825294414477
"LS","5OA",0.109191670759808,0.122523896362148
"LS","3OA-IAMF",0.0159222143221305,0.0614116780392401
"LS","2OA-TBE",0.0310777235352605,0.0929918652183925
"LS","1OA-YT",0.00858307258422863,0.0488099780454321
"LS","42pIKO",0.0542818483033074,0.0447977810221074
"LS","Atmos",0.0557478480622135,0.214330416300714
"LS","Auro3D",0.0499922914699274,0.183239703461338
"LS","Sony360RA",0.0698247080825704,0.341073342781818
"LS","42pIKO-Atmos",0.019415460157307,0.058129659015385
"LS","42pIKO-Auro3D",0.0372273134463651,0.193333410289203
"LS","42pIKO-Sony360RA",0.0879481815442466,0.279937271608423
