"metric","item","anchor","gap"
"overall_measure","DeusExMachina","7OA",0.0841204
"overall_measure","DeusExMachina","5OA",0.0750063
"overall_measure","DeusExMachina","Atmos",0.0416647000000001
"overall_measure","BigBand","7OA",0.12529165
"overall_measure","BigBand","5OA",0.1296091
"overall_measure","BigBand","Atmos",0.07159125
"overall_measure","KWARTET","7OA",0.16936945
"overall_measure","KWARTET","5OA",0.1679087
"overall_measure","KWARTET","Atmos",0.06739775
"LS","DeusExMachina","7OA",0.148206112461994
"LS","DeusExMachina","5OA",0.0998232891653405
"LS","DeusExMachina","Atmos",-0.019219344866502
"LS","BigBand","7OA",0.0946911328176805
"LS","BigBand","5OA",0.0397822929166182
"LS","BigBand","Atmos",-0.10137929931686
"LS","KWARTET","7OA",0.11352617727551
"LS","KWARTET","5OA",0.0698661674048484
"LS","KWARTET","Atmos",-0.0626749445263478
