"variant","ITDdiff_us","ILDdiff_dB","ITD_x_JND","ILD_x_JND"
"5OA",5.28175333333333,0.10234875,0.264087666666667,0.10234875
"42pIKO",24.2732,0.269116944444444,1.21366,0.269116944444444
"3OA-IAMF",58.1111,0.893318055555556,2.905555,0.893318055555556
"2OA-TBE",61.1113666666667,1.18650555555556,3.05556833333333,1.18650555555556
"42pIKO-Atmos",70.2581,1.48178055555556,3.512905,1.48178055555556
"42pIKO-Sony360RA",75.9499333333333,1.37659583333333,3.79749666666667,1.37659583333333
"Atmos",88.0952333333333,2.00785,4.40476166666667,2.00785
"1OA-YT",88.8901333333333,1.06254583333333,4.44450666666667,1.06254583333333
"Auro3D",97.0611666666667,2.22249305555556,4.85305833333333,2.22249305555556
"Sony360RA",110.141,2.52517777777778,5.50705,2.52517777777778
"42pIKO-Auro3D",115.237666666667,2.90823194444444,5.76188333333333,2.90823194444444
