"metric","family","item","cv"
"overall_measure","Ambisonics","DeusExMachina",0.186507435321503
"overall_measure","Ambisonics","BigBand",0.10760955771908
"overall_measure","Ambisonics","KWARTET",0.0627709436983286
"overall_measure","Channel/Object","DeusExMachina",0.278571481153191
"overall_measure","Channel/Object","BigBand",0.29369314791252
"overall_measure","Channel/Object","KWARTET",0.36600058021946
"LS","Ambisonics","DeusExMachina",0.795710169512074
"LS","Ambisonics","BigBand",0.715381872255015
"LS","Ambisonics","KWARTET",0.779596458485353
"LS","Channel/Object","DeusExMachina",0.30481981757058
"LS","Channel/Object","BigBand",0.187290760755859
"LS","Channel/Object","KWARTET",0.190055246303522
"ILDdiff","Ambisonics","DeusExMachina",0.721684731619026
"ILDdiff","Ambisonics","BigBand",0.713371520642403
"ILDdiff","Ambisonics","KWARTET",0.653428351338746
"ILDdiff","Channel/Object","DeusExMachina",0.296566445242938
"ILDdiff","Channel/Object","BigBand",0.369392029974294
"ILDdiff","Channel/Object","KWARTET",0.286646947957918
"ITDdiff","Ambisonics","DeusExMachina",0.818216165030765
"ITDdiff","Ambisonics","BigBand",0.648683756587031
"ITDdiff","Ambisonics","KWARTET",0.623638129554629
"ITDdiff","Channel/Object","DeusExMachina",0.0798096496337436
"ITDdiff","Channel/Object","BigBand",0.286837358625077
"ITDdiff","Channel/Object","KWARTET",0.284273160353285
