"k","centred","segmean","segsd"
"BigBand|1OA-YT",0.100694799338376,0.100652000607406,0.000231562174541649
"BigBand|2OA-TBE",0.188069663602296,0.187259285551959,0.00133148110724381
"BigBand|3OA-IAMF",0.144566030029531,0.144121171382744,0.00331820097284428
"BigBand|42pIKO",0.58069376139874,0.588349487989644,0.00444038405178734
"BigBand|42pIKO-Atmos",0.177720208136114,0.174385065398084,0.00525211028639289
"BigBand|42pIKO-Auro3D",0.115956577194633,0.112352322424103,0.00480916211215285
"BigBand|42pIKO-Sony360RA",0.199599908472304,0.200180043436771,0.00533172419288472
"BigBand|5OA",0.400515959110904,0.401048177327607,0.00218949455455511
"BigBand|Atmos",0.162842964531553,0.155664895679493,0.00494280481921774
"BigBand|Auro3D",0.165371217971353,0.161304616171249,0.00566853155636552
"BigBand|Sony360RA",0.135426742098372,0.132118990287592,0.00523152588877739
"DeusExMachina|1OA-YT",0.0999847430891384,0.0971005379261014,0.0019372192573897
"DeusExMachina|2OA-TBE",0.156991940067035,0.158468959829111,0.00139043658417263
"DeusExMachina|3OA-IAMF",0.141734624270668,0.140330654413685,0.00237312212848915
"DeusExMachina|42pIKO",0.634975609702048,0.627952959543795,0.00586604686212847
"DeusExMachina|42pIKO-Atmos",0.158304747978807,0.154727648608523,0.00290457820952498
"DeusExMachina|42pIKO-Auro3D",0.0787292637482676,0.0780315303076753,0.00104746362490683
"DeusExMachina|42pIKO-Sony360RA",0.111658673134497,0.111558656556679,0.00113867769112166
"DeusExMachina|5OA",0.509707629870712,0.501950395162719,0.00873881596434149
"DeusExMachina|Atmos",0.107095116469339,0.105463229391977,0.00137368699621246
"DeusExMachina|Auro3D",0.115378926501426,0.113500370642586,0.00118931539351417
"DeusExMachina|Sony360RA",0.0870064727381462,0.0868389701389033,0.000948753810192618
"KWARTET|1OA-YT",0.092111726754147,0.0931984504633212,0.000715035355391279
"KWARTET|2OA-TBE",0.181114706950294,0.183690614969609,0.00240367862036307
"KWARTET|3OA-IAMF",0.1286438157074,0.130592575348197,0.00340304059732307
"KWARTET|42pIKO",0.613051714582824,0.614983757035544,0.00613468722062939
"KWARTET|42pIKO-Atmos",0.166641543429004,0.173634756526529,0.0127282584211016
"KWARTET|42pIKO-Auro3D",0.107109903011497,0.1108881086465,0.00754002919952619
"KWARTET|42pIKO-Sony360RA",0.161320084357941,0.165973868576134,0.00801257533721628
"KWARTET|5OA",0.482839813421958,0.485108176403702,0.00574356809908067
"KWARTET|Atmos",0.156167121916829,0.159752245819944,0.00457414957693457
"KWARTET|Auro3D",0.156737375242581,0.160925394918019,0.00755341151277266
"KWARTET|Sony360RA",0.109212662574761,0.114678576301549,0.0065764489804536
