"k","centred","segmean","segsd"
"BigBand|1OA-YT",0.484241,0.496606,0.00742766575042255
"BigBand|2OA-TBE",0.425983,0.4003046,0.0167925577503845
"BigBand|3OA-IAMF",0.48673,0.4870688,0.00953408300257553
"BigBand|42pIKO",0.472911,0.4824274,0.0103629930666772
"BigBand|42pIKO-Atmos",0.442823,0.4566132,0.0116659409264748
"BigBand|42pIKO-Auro3D",0.2496,0.20436,0.0491461900863129
"BigBand|42pIKO-Sony360RA",0.44905,0.4536798,0.00476219237326674
"BigBand|5OA",0.571383,0.5809956,0.00861024690702884
"BigBand|Atmos",0.504861,0.4956154,0.0423032273154188
"BigBand|Auro3D",0.2886,0.20904,0.0547113151002606
"BigBand|Sony360RA",0.2808,0.234,0.0412737204526076
"DeusExMachina|1OA-YT",0.468,0.480411,0.0170062806927323
"DeusExMachina|2OA-TBE",0.36588,0.3580578,0.00808452235447461
"DeusExMachina|3OA-IAMF",0.391658,0.3948218,0.00829442964886678
"DeusExMachina|42pIKO",0.531166,0.5393438,0.00609453802186843
"DeusExMachina|42pIKO-Atmos",0.473895,0.4754146,0.00522107798256261
"DeusExMachina|42pIKO-Auro3D",0.3042,0.2964,0.0227407123898967
"DeusExMachina|42pIKO-Sony360RA",0.231223,0.2303524,0.0195407659471168
"DeusExMachina|5OA",0.567322,0.593692,0.0153104740455676
"DeusExMachina|Atmos",0.468,0.4561598,0.0232262046016994
"DeusExMachina|Auro3D",0.4758,0.46332,0.0324427495752133
"DeusExMachina|Sony360RA",0.329565,0.3191466,0.0318377617036751
"KWARTET|1OA-YT",0.493528,0.4930006,0.0152182093986119
"KWARTET|2OA-TBE",0.468,0.4827834,0.0227168064833066
"KWARTET|3OA-IAMF",0.45307,0.4692948,0.0148651256536903
"KWARTET|42pIKO",0.492279,0.497141,0.0143946674154007
"KWARTET|42pIKO-Atmos",0.458978,0.465058,0.023814444450795
"KWARTET|42pIKO-Auro3D",0.1716,0.15288,0.0161744242555956
"KWARTET|42pIKO-Sony360RA",0.406971,0.4090366,0.0310920330840555
"KWARTET|5OA",0.533674,0.5402432,0.0355865491822402
"KWARTET|Atmos",0.4368,0.3925876,0.0563530777225166
"KWARTET|Auro3D",0.234,0.25584,0.0177867366315466
"KWARTET|Sony360RA",0.2652,0.25896,0.0201897994046499
